,NAME,HLS Latency min,HLS Latency max,HLS Elapsed,HLS II min,HLS II max,HLS LUT,HLS FF,HLS Clock,HLS Target,HLS Estimated,HLS Uncertainty,HLS Slack,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E synth synth_design,E impl total,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%),HLS Target,HLS Estimated
70,I352_O016_D00-8_II1_M1_F1_IR0_R0_ER1,7,7,N/A,1,1,160985,57798,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.246,0.000,0.048,0.000,5.488,50450,4.27,18330,0.78,46226,3.91,4224,0.71,00:15:50,00:31:21,00:02:04,00:00:24,00:00:07,00:07:13,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:33,00:18:50,00:00:19,00:00:06,00:16:14,00:00:18,Medium,NA,Unspecified*,2.513,2.975,0.5,28.0,97.0,NA,---,---,0,17321,0,17321,0.000,0,22554,0.000,2.552,0,0.00,9304,1.57,,,,,18330,0.78,0,0.00,6.25 ns,5.418 ns
69,I352_O016_D00-8_II1_M1_F1_IR0_R1_ER1,7,7,N/A,1,1,160985,57798,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.509,0.000,0.039,0.000,5.498,50981,4.31,18356,0.78,46757,3.95,4224,0.71,00:15:45,00:30:19,00:02:08,00:00:24,00:00:07,00:06:27,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:33,00:18:35,00:00:18,00:00:06,00:16:07,00:00:16,Medium,NA,Unspecified*,2.513,2.985,0.5,28.0,97.0,NA,---,---,0,17347,0,17347,0.000,0,22580,0.000,2.552,0,0.00,9150,1.55,,,,,18356,0.78,0,0.00,6.25 ns,5.418 ns
207,I352_O016_D00-8_II4_M0_F1_IR0_R0_ER1,6,6,N/A,4,4,134568,11020,ap_clk,6.25 ns,5.445 ns,0.80 ns,0.805,0.235,0.000,0.044,0.000,4.435,52274,4.42,16621,0.70,52274,4.42,0,0.00,00:17:42,00:25:08,00:02:03,00:00:24,00:00:08,00:07:07,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:33,00:12:49,00:00:18,00:00:06,00:18:05,00:00:17,Medium,NA,Unspecified*,2.497,1.938,0.5,27.4,97.6,NA,---,---,0,21929,0,21929,0.000,0,16621,0.000,2.850,0,0.00,666,0.11,0,0.00,0,0.00,16621,0.70,0,0.00,6.25 ns,5.445 ns
155,I352_O016_D00-8_II4_M0_F1_IR0_R1_ER1,6,6,N/A,4,4,134568,11020,ap_clk,6.25 ns,5.445 ns,0.80 ns,0.805,0.409,0.000,0.048,0.000,4.427,51215,4.33,16621,0.70,51215,4.33,0,0.00,00:18:19,00:27:01,00:02:16,00:00:28,00:00:08,00:07:55,00:00:17,00:00:00,00:00:12,00:00:00,00:00:20,00:00:35,00:13:26,00:00:18,00:00:06,00:18:42,00:00:17,Medium,NA,Unspecified*,2.497,1.930,0.5,27.4,97.6,NA,---,---,0,21929,0,21929,0.000,0,16621,0.000,2.850,0,0.00,629,0.11,0,0.00,0,0.00,16621,0.70,0,0.00,6.25 ns,5.445 ns
68,I352_O016_D00-8_II4_M1_F1_IR0_R0_ER1,7,7,N/A,4,4,138495,12255,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.327,0.000,0.047,0.000,4.366,46025,3.89,17849,0.75,46025,3.89,0,0.00,00:16:48,00:25:29,00:02:03,00:00:22,00:00:08,00:06:17,00:00:16,00:00:00,00:00:11,00:00:00,00:00:17,00:00:31,00:14:02,00:00:18,00:00:05,00:17:10,00:00:17,Medium,NA,Unspecified*,2.496,1.870,0.5,27.4,97.6,NA,---,---,0,24368,0,24368,0.000,0,17849,0.000,2.850,0,0.00,9351,1.58,3840,1.30,0,0.00,17849,0.75,0,0.00,6.25 ns,5.418 ns
67,I352_O016_D00-8_II4_M1_F1_IR0_R1_ER1,7,7,N/A,4,4,138495,12255,ap_clk,6.25 ns,5.418 ns,0.80 ns,0.832,0.648,0.000,0.042,0.000,4.336,46071,3.90,17875,0.76,46071,3.90,0,0.00,00:16:19,00:24:55,00:02:00,00:00:24,00:00:08,00:06:38,00:00:16,00:00:00,00:00:10,00:00:00,00:00:16,00:00:32,00:13:17,00:00:16,00:00:05,00:16:39,00:00:15,Medium,NA,Unspecified*,2.496,1.841,0.5,27.4,97.6,NA,---,---,0,24403,0,24403,0.000,0,17875,0.000,2.850,0,0.00,9352,1.58,3840,1.30,0,0.00,17875,0.76,0,0.00,6.25 ns,5.418 ns
206,I352_O016_D001_II1_M0_F1_IR0_R0,1,1,126:13:45,1,1,134521,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,5.557,0.000,0.192,0.000,7.784,69042,5.84,401,0.02,69042,5.84,0,0.00,00:12:49,00:25:24,00:02:04,00:00:25,,00:13:31,00:00:14,00:00:00,00:00:11,00:00:00,00:01:01,00:01:28,00:03:11,00:00:19,00:00:05,00:13:12,00:00:18,Medium,NA,Unspecified*,2.547,5.237,0.5,29.2,95.8,NA,---,---,0,1,0,1,0.000,0,401,0.000,2.850,0,0.00,289,0.05,1,<0.01,0,0.00,401,0.02,0,0.00,6.25 ns,29.365 ns
205,I352_O016_D001_II1_M0_F1_IR0_R0_ER1,1,1,N/A,1,1,134521,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-21.120,-7909.236,0.082,0.000,8.107,73329,6.20,6036,0.26,73329,6.20,0,0.00,00:23:59,00:50:44,00:02:09,00:00:27,00:02:44,00:17:25,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:01:00,00:24:53,00:00:20,00:00:06,00:24:23,00:00:18,Medium,NA,Unspecified*,2.552,5.555,0.5,29.4,95.6,NA,---,---,0,799,400,799,-7909.236,0,6036,0.000,2.850,0,0.00,212,0.04,0,0.00,0,0.00,6036,0.26,0,0.00,6.25 ns,29.365 ns
154,I352_O016_D001_II1_M0_F1_IR0_R1,1,1,128:06:31,1,1,134521,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,5.557,0.000,0.192,0.000,7.784,69042,5.84,401,0.02,69042,5.84,0,0.00,00:12:30,00:24:43,00:02:05,00:00:25,,00:13:08,00:00:14,00:00:00,00:00:10,00:00:00,00:00:57,00:01:26,00:03:02,00:00:18,00:00:05,00:12:52,00:00:17,Medium,NA,Unspecified*,2.547,5.237,0.5,29.2,95.8,NA,---,---,0,1,0,1,0.000,0,401,0.000,2.850,0,0.00,289,0.05,1,<0.01,0,0.00,401,0.02,0,0.00,6.25 ns,29.365 ns
153,I352_O016_D001_II1_M0_F1_IR0_R1_ER1,1,1,N/A,1,1,134521,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-22.508,-8472.541,0.131,0.000,8.280,73599,6.23,6038,0.26,73599,6.23,0,0.00,00:25:40,00:46:12,00:02:09,00:00:28,00:01:41,00:17:04,00:00:15,00:00:00,00:00:12,00:00:00,00:00:13,00:00:59,00:21:44,00:00:20,00:00:06,00:26:04,00:00:18,Medium,NA,Unspecified*,2.555,5.725,0.5,29.5,95.5,NA,---,---,0,800,400,800,-8472.541,0,6038,0.000,2.850,0,0.00,205,0.03,0,0.00,0,0.00,6038,0.26,0,0.00,6.25 ns,29.365 ns
