,NAME,HLS Latency min,HLS Latency max,HLS Elapsed,HLS II min,HLS II max,HLS LUT,HLS FF,HLS Clock,HLS Target,HLS Estimated,HLS Uncertainty,HLS Slack,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E synth synth_design,E impl total,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%),HLS Target,HLS Estimated
151,I352_O016_D001_II4_M0_F1_IR0_R1,1,1,205:21:02,2,2,134532,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,4.172,0.000,0.089,0.000,7.874,70736,5.98,402,0.02,70736,5.98,0,0.00,00:12:49,00:25:52,00:02:07,00:00:26,,00:13:38,00:00:15,00:00:00,00:00:11,00:00:00,00:01:01,00:01:33,00:03:09,00:00:19,00:00:05,00:13:12,00:00:18,Medium,NA,Unspecified*,2.549,5.325,0.5,29.3,95.7,NA,---,---,0,402,0,402,0.000,0,402,0.000,2.850,0,0.00,200,0.03,0,0.00,0,0.00,402,0.02,0,0.00,6.25 ns,29.365 ns
150,I352_O016_D001_II4_M0_F1_IR0_R1_ER1,1,1,N/A,2,2,134532,402,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-21.019,-7913.684,0.063,0.000,8.065,72861,6.16,6042,0.26,72861,6.16,0,0.00,00:26:43,00:48:25,00:02:11,00:00:28,00:01:27,00:18:15,00:00:16,00:00:00,00:00:12,00:00:00,00:00:15,00:01:01,00:22:51,00:00:20,00:00:06,00:27:07,00:00:18,Medium,NA,Unspecified*,2.552,5.513,0.5,29.4,95.6,NA,---,---,0,801,400,801,-7913.684,0,6042,0.000,2.850,0,0.00,128,0.02,0,0.00,0,0.00,6042,0.26,0,0.00,6.25 ns,29.365 ns
201,I352_O016_D001_II4_M0_F1_IR1_R0,2,2,N/A,3,3,134538,6035,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-22.459,-8384.187,0.063,0.000,7.610,66915,5.66,6044,0.26,66915,5.66,0,0.00,00:20:25,00:43:56,00:02:08,00:00:26,00:02:46,00:12:27,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:53,00:23:15,00:00:18,00:00:05,00:20:47,00:00:17,Medium,NA,Unspecified*,2.545,5.065,0.5,29.1,95.9,NA,---,---,0,6443,400,6443,-8384.187,0,6044,0.000,2.850,0,0.00,146,0.02,0,0.00,0,0.00,6044,0.26,0,0.00,6.25 ns,29.365 ns
149,I352_O016_D001_II4_M0_F1_IR1_R1,2,2,N/A,3,3,134538,6035,ap_clk,6.25 ns,29.365 ns,0.80 ns,-23.115,-22.459,-8384.187,0.063,0.000,7.610,66915,5.66,6044,0.26,66915,5.66,0,0.00,00:20:45,00:44:12,00:02:06,00:00:26,00:03:01,00:12:16,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:52,00:23:28,00:00:19,00:00:05,00:21:07,00:00:17,Medium,NA,Unspecified*,2.545,5.065,0.5,29.1,95.9,NA,---,---,0,6443,400,6443,-8384.187,0,6044,0.000,2.850,0,0.00,146,0.02,0,0.00,0,0.00,6044,0.26,0,0.00,6.25 ns,29.365 ns
62,I352_O016_D001_II4_M1_F1_IR0_R0,1,1,N/A,2,2,138468,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,3.729,0.000,0.089,0.000,5.846,59928,5.07,402,0.02,59928,5.07,0,0.00,00:11:34,00:27:01,00:02:05,00:00:22,,00:05:17,00:00:14,00:00:00,00:00:11,00:00:00,00:01:11,00:02:05,00:10:19,00:00:18,00:00:05,00:11:56,00:00:17,Medium,NA,Unspecified*,2.518,3.329,0.5,28.2,96.8,NA,---,---,0,402,0,402,0.000,0,402,0.000,2.850,0,0.00,9098,1.54,3840,1.30,0,0.00,402,0.02,0,0.00,6.25 ns,30.779 ns
61,I352_O016_D001_II4_M1_F1_IR0_R0_ER1,1,1,N/A,2,2,138468,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-36.567,-12005.191,0.061,0.000,6.670,67691,5.73,6041,0.26,67691,5.73,0,0.00,00:21:30,08:09:28,00:02:04,00:00:24,00:01:54,00:12:33,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:52,07:49:23,00:00:21,00:00:05,00:21:54,00:00:19,Medium,NA,Unspecified*,2.530,4.140,0.5,28.6,96.4,NA,---,---,0,802,575,802,-12005.191,0,6041,0.000,2.850,0,0.00,9089,1.54,3840,1.30,0,0.00,6041,0.26,0,0.00,6.25 ns,30.779 ns
60,I352_O016_D001_II4_M1_F1_IR0_R1,1,1,N/A,2,2,138468,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,3.391,0.000,0.092,0.000,5.834,60326,5.10,402,0.02,60326,5.10,0,0.00,00:12:05,00:26:40,00:01:57,00:00:22,,00:05:15,00:00:14,00:00:00,00:00:10,00:00:00,00:01:12,00:02:04,00:10:20,00:00:16,00:00:05,00:12:26,00:00:16,Medium,NA,Unspecified*,2.518,3.317,0.5,28.2,96.8,NA,---,---,0,402,0,402,0.000,0,402,0.000,2.850,0,0.00,9098,1.54,3840,1.30,0,0.00,402,0.02,0,0.00,6.25 ns,30.779 ns
59,I352_O016_D001_II4_M1_F1_IR0_R1_ER1,1,1,N/A,2,2,138468,402,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-26.055,-9253.093,0.063,0.000,6.762,69415,5.87,6043,0.26,69415,5.87,0,0.00,00:22:19,00:49:54,00:02:05,00:00:24,00:03:10,00:12:27,00:00:16,00:00:00,00:00:12,00:00:00,00:00:13,00:00:56,00:28:49,00:00:19,00:00:06,00:22:41,00:00:16,Medium,NA,Unspecified*,2.532,4.230,0.5,28.7,96.3,NA,---,---,0,802,399,802,-9253.093,0,6043,0.000,2.850,0,0.00,9076,1.54,3840,1.30,0,0.00,6043,0.26,0,0.00,6.25 ns,30.779 ns
104,I352_O016_D001_II4_M1_F1_IR1_R0,2,2,N/A,3,3,138474,6035,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-33.439,-11355.999,0.063,0.000,6.316,66463,5.62,6042,0.26,66463,5.62,0,0.00,00:23:17,09:07:02,00:02:07,00:00:25,00:01:39,00:12:07,00:00:16,00:00:00,00:00:12,00:00:00,00:00:19,00:00:51,08:47:36,00:00:21,00:00:05,00:23:40,00:00:18,Medium,NA,Unspecified*,2.525,3.791,0.5,28.4,96.6,NA,---,---,0,6442,462,6442,-11355.999,0,6042,0.000,2.850,0,0.00,9089,1.54,3840,1.30,0,0.00,6042,0.26,0,0.00,6.25 ns,30.779 ns
103,I352_O016_D001_II4_M1_F1_IR1_R1,2,2,N/A,3,3,138474,6035,ap_clk,6.25 ns,30.779 ns,0.80 ns,-24.529,-27.642,-9935.841,0.052,0.000,6.542,65004,5.50,6038,0.26,65004,5.50,0,0.00,00:19:29,00:45:36,00:01:58,00:00:23,00:01:19,00:10:11,00:00:14,00:00:00,00:00:10,00:00:00,00:00:11,00:00:48,00:29:04,00:00:17,00:00:05,00:19:49,00:00:15,Medium,NA,Unspecified*,2.528,4.013,0.5,28.6,96.4,NA,---,---,0,6438,400,6438,-9935.841,0,6038,0.000,2.850,0,0.00,9103,1.54,3840,1.30,0,0.00,6038,0.26,0,0.00,6.25 ns,30.779 ns
200,I352_O016_D002_II1_M0_F1_IR0_R0,2,2,69:26:15,1,1,134521,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.047,-2891.968,0.152,0.000,7.481,69528,5.88,8935,0.38,69528,5.88,0,0.00,00:23:09,00:39:18,00:02:08,00:00:26,00:01:15,00:15:48,00:00:15,00:00:00,00:00:11,00:00:00,00:00:19,00:00:55,00:16:17,00:00:19,00:00:05,00:23:32,00:00:18,Medium,NA,Unspecified*,2.543,4.939,0.5,29.1,95.9,NA,---,---,0,800,375,800,-2891.968,0,8935,0.000,2.850,0,0.00,298,0.05,0,0.00,0,0.00,8935,0.38,0,0.00,6.25 ns,17.522 ns
199,I352_O016_D002_II1_M0_F1_IR0_R0_ER1,2,2,N/A,1,1,134521,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.781,-11507.933,0.061,0.000,7.458,73013,6.18,14570,0.62,73013,6.18,0,0.00,00:27:02,00:35:02,00:02:18,00:00:28,00:01:58,00:16:04,00:00:15,00:00:00,00:00:12,00:00:00,00:00:14,00:00:54,00:11:10,00:00:20,00:00:05,00:27:26,00:00:19,Medium,NA,Unspecified*,2.542,4.916,0.5,29.1,95.9,NA,---,---,0,9335,5596,9335,-11507.933,0,14570,0.000,2.850,0,0.00,400,0.07,0,0.00,0,0.00,14570,0.62,0,0.00,6.25 ns,17.522 ns
148,I352_O016_D002_II1_M0_F1_IR0_R1,2,2,69:19:16,1,1,134521,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.047,-2891.968,0.152,0.000,7.481,69528,5.88,8935,0.38,69528,5.88,0,0.00,00:23:33,00:38:37,00:02:08,00:00:28,00:01:16,00:15:41,00:00:15,00:00:00,00:00:11,00:00:00,00:00:19,00:00:55,00:15:38,00:00:19,00:00:05,00:23:56,00:00:18,Medium,NA,Unspecified*,2.543,4.939,0.5,29.1,95.9,NA,---,---,0,800,375,800,-2891.968,0,8935,0.000,2.850,0,0.00,298,0.05,0,0.00,0,0.00,8935,0.38,0,0.00,6.25 ns,17.522 ns
147,I352_O016_D002_II1_M0_F1_IR0_R1_ER1,2,2,N/A,1,1,134521,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-7.827,-13639.703,0.061,0.000,7.303,69597,5.89,14557,0.62,69597,5.89,0,0.00,00:22:22,00:43:00,00:02:16,00:00:29,00:01:48,00:18:08,00:00:16,00:00:00,00:00:13,00:00:00,00:00:15,00:00:53,00:17:09,00:00:21,00:00:06,00:22:47,00:00:19,Medium,NA,Unspecified*,2.540,4.763,0.5,29.0,96.0,NA,---,---,0,9323,6319,9323,-13639.703,0,14557,0.000,2.850,0,0.00,570,0.10,0,0.00,0,0.00,14557,0.62,0,0.00,6.25 ns,17.522 ns
198,I352_O016_D002_II1_M0_F1_IR1_R0,3,3,80:13:23,1,1,134521,14404,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.091,-9790.678,0.052,0.000,7.222,66997,5.67,14280,0.60,66997,5.67,0,0.00,00:26:08,00:41:47,00:02:04,00:00:25,00:01:33,00:10:13,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:48,00:24:38,00:00:20,00:00:05,00:26:31,00:00:18,Medium,NA,Unspecified*,2.539,4.683,0.5,28.9,96.1,NA,---,---,0,14678,5498,14678,-9790.678,0,14280,0.000,2.850,0,0.00,326,0.06,0,0.00,0,0.00,14280,0.60,0,0.00,6.25 ns,17.522 ns
146,I352_O016_D002_II1_M0_F1_IR1_R1,3,3,80:12:17,1,1,134521,14404,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.091,-9790.678,0.052,0.000,7.222,66997,5.67,14280,0.60,66997,5.67,0,0.00,00:25:56,00:42:34,00:02:04,00:00:25,00:01:39,00:10:41,00:00:15,00:00:00,00:00:11,00:00:00,00:00:14,00:00:47,00:24:51,00:00:19,00:00:05,00:26:19,00:00:18,Medium,NA,Unspecified*,2.539,4.683,0.5,28.9,96.1,NA,---,---,0,14678,5498,14678,-9790.678,0,14280,0.000,2.850,0,0.00,326,0.06,0,0.00,0,0.00,14280,0.60,0,0.00,6.25 ns,17.522 ns
58,I352_O016_D002_II1_M1_F1_IR0_R0,2,2,15:49:25,1,1,138457,8168,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-14.398,-4801.477,0.257,0.000,6.022,56055,4.74,8044,0.34,56055,4.74,0,0.00,00:18:13,02:49:15,00:02:01,00:00:22,00:01:04,00:09:12,00:00:15,00:00:00,00:00:10,00:00:00,00:00:14,00:00:42,02:33:38,00:00:19,00:00:06,00:18:36,00:00:17,Medium,NA,Unspecified*,2.520,3.502,0.5,28.3,96.7,NA,---,---,0,801,458,801,-4801.477,0,8044,0.000,2.850,0,0.00,9095,1.54,3840,1.30,0,0.00,8044,0.34,0,0.00,6.25 ns,18.936 ns
57,I352_O016_D002_II1_M1_F1_IR0_R0_ER1,2,2,N/A,1,1,138457,8168,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-17.740,-19462.539,0.047,0.000,6.228,53674,4.54,13676,0.58,53674,4.54,0,0.00,00:16:36,08:39:20,00:02:03,00:00:23,00:01:33,00:10:26,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:39,08:22:13,00:00:19,00:00:05,00:16:59,00:00:18,Medium,NA,Unspecified*,2.524,3.705,0.5,28.4,96.6,NA,---,---,0,8443,3709,8443,-19462.539,0,13676,0.000,2.850,0,0.00,9153,1.55,3840,1.30,0,0.00,13676,0.58,0,0.00,6.25 ns,18.936 ns
56,I352_O016_D002_II1_M1_F1_IR0_R1,2,2,21:30:14,1,1,138457,8168,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-13.280,-4356.604,0.076,0.000,6.012,57758,4.89,8050,0.34,57758,4.89,0,0.00,00:17:30,01:17:46,00:01:57,00:00:22,00:01:18,00:09:00,00:00:15,00:00:00,00:00:10,00:00:00,00:00:14,00:00:44,01:02:18,00:00:17,00:00:05,00:17:51,00:00:16,Medium,NA,Unspecified*,2.520,3.492,0.5,28.3,96.7,NA,---,---,0,801,391,801,-4356.604,0,8050,0.000,2.850,0,0.00,9106,1.54,3840,1.30,0,0.00,8050,0.34,0,0.00,6.25 ns,18.936 ns
55,I352_O016_D002_II1_M1_F1_IR0_R1_ER1,2,2,N/A,1,1,138457,8168,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-11.511,-14718.076,0.043,0.000,6.058,57962,4.90,13686,0.58,57962,4.90,0,0.00,00:20:17,00:48:48,00:02:04,00:00:25,00:01:31,00:10:30,00:00:16,00:00:00,00:00:12,00:00:00,00:00:13,00:00:44,00:31:32,00:00:18,00:00:05,00:20:38,00:00:16,Medium,NA,Unspecified*,2.521,3.537,0.5,28.3,96.7,NA,---,---,0,8453,3612,8453,-14718.076,0,13686,0.000,2.850,0,0.00,9129,1.54,3840,1.30,0,0.00,13686,0.58,0,0.00,6.25 ns,18.936 ns
102,I352_O016_D002_II1_M1_F1_IR1_R0,3,3,34:15:21,1,1,138457,13867,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-14.040,-13804.263,0.024,0.000,6.032,55868,4.73,13746,0.58,55868,4.73,0,0.00,00:17:59,07:02:43,00:02:02,00:00:23,00:02:12,00:10:07,00:00:16,00:00:00,00:00:10,00:00:00,00:00:11,00:00:41,06:45:16,00:00:19,00:00:05,00:18:22,00:00:18,Medium,NA,Unspecified*,2.521,3.511,0.5,28.3,96.7,NA,---,---,0,14145,3825,14145,-13804.263,0,13746,0.000,2.850,0,0.00,9188,1.55,3840,1.30,0,0.00,13746,0.58,0,0.00,6.25 ns,18.936 ns
101,I352_O016_D002_II1_M1_F1_IR1_R1,3,3,26:49:55,1,1,138457,13867,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-12.799,-14545.358,0.040,0.000,6.008,55784,4.72,13750,0.58,55784,4.72,0,0.00,00:19:02,00:37:58,00:01:58,00:00:23,00:01:12,00:10:41,00:00:15,00:00:00,00:00:10,00:00:00,00:00:12,00:00:42,00:21:07,00:00:18,00:00:05,00:19:22,00:00:15,Medium,NA,Unspecified*,2.520,3.488,0.5,28.3,96.7,NA,---,---,0,14149,3841,14149,-14545.358,0,13750,0.000,2.850,0,0.00,9180,1.55,3840,1.30,0,0.00,13750,0.58,0,0.00,6.25 ns,18.936 ns
197,I352_O016_D002_II4_M0_F1_IR0_R0,2,2,87:54:55,3,3,134538,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.142,-2922.493,0.054,0.000,6.605,71487,6.05,8926,0.38,71487,6.05,0,0.00,00:16:34,00:38:51,00:02:04,00:00:25,00:01:26,00:15:29,00:00:14,00:00:00,00:00:11,00:00:00,00:00:20,00:00:56,00:15:58,00:00:20,00:00:05,00:16:58,00:00:19,Medium,NA,Unspecified*,2.529,4.076,0.5,28.6,96.4,NA,---,---,0,9325,375,9325,-2922.493,0,8926,0.000,2.850,0,0.00,460,0.08,0,0.00,0,0.00,8926,0.38,0,0.00,6.25 ns,17.522 ns
196,I352_O016_D002_II4_M0_F1_IR0_R0_ER1,2,2,N/A,3,3,134538,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-7.385,-11226.138,0.051,0.000,6.054,66662,5.64,14558,0.62,66662,5.64,0,0.00,00:20:50,00:42:29,00:02:09,00:00:27,00:01:24,00:11:10,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:48,00:24:27,00:00:19,00:00:05,00:21:13,00:00:18,Medium,NA,Unspecified*,2.521,3.533,0.5,28.3,96.7,NA,---,---,0,17825,5798,17825,-11226.138,0,14558,0.000,2.850,0,0.00,517,0.09,0,0.00,0,0.00,14558,0.62,0,0.00,6.25 ns,17.522 ns
145,I352_O016_D002_II4_M0_F1_IR0_R1,2,2,87:57:08,3,3,134538,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-8.142,-2922.493,0.054,0.000,6.605,71487,6.05,8926,0.38,71487,6.05,0,0.00,00:17:17,00:38:51,00:02:04,00:00:27,00:01:25,00:15:39,00:00:14,00:00:00,00:00:10,00:00:00,00:00:19,00:00:55,00:15:52,00:00:20,00:00:05,00:17:41,00:00:19,Medium,NA,Unspecified*,2.529,4.076,0.5,28.6,96.4,NA,---,---,0,9325,375,9325,-2922.493,0,8926,0.000,2.850,0,0.00,460,0.08,0,0.00,0,0.00,8926,0.38,0,0.00,6.25 ns,17.522 ns
144,I352_O016_D002_II4_M0_F1_IR0_R1_ER1,2,2,N/A,3,3,134538,9066,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-6.890,-11390.007,0.054,0.000,6.170,67907,5.74,14555,0.62,67907,5.74,0,0.00,00:23:26,00:48:05,00:02:15,00:00:30,00:01:41,00:12:42,00:00:17,00:00:00,00:00:13,00:00:00,00:00:14,00:00:52,00:27:48,00:00:21,00:00:06,00:23:51,00:00:19,Medium,NA,Unspecified*,2.523,3.647,0.5,28.4,96.6,NA,---,---,0,17819,5797,17819,-11390.007,0,14555,0.000,2.850,0,0.00,501,0.08,0,0.00,0,0.00,14555,0.62,0,0.00,6.25 ns,17.522 ns
195,I352_O016_D002_II4_M0_F1_IR1_R0,3,3,98:15:37,4,4,134544,14404,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-7.366,-10683.657,0.050,0.000,5.532,69503,5.88,14284,0.60,69503,5.88,0,0.00,00:28:11,00:40:04,00:02:15,00:00:25,00:01:44,00:16:26,00:00:13,00:00:00,00:00:11,00:00:00,00:00:14,00:00:48,00:16:21,00:00:20,00:00:05,00:28:34,00:00:18,Medium,NA,Unspecified*,2.513,3.019,0.5,28.0,97.0,NA,---,---,0,22928,5916,22928,-10683.657,0,14284,0.000,2.850,0,0.00,447,0.08,5,<0.01,0,0.00,14284,0.60,0,0.00,6.25 ns,17.522 ns
143,I352_O016_D002_II4_M0_F1_IR1_R1,3,3,98:37:29,4,4,134544,14404,ap_clk,6.25 ns,17.522 ns,0.80 ns,-11.272,-7.366,-10683.657,0.050,0.000,5.532,69503,5.88,14284,0.60,69503,5.88,0,0.00,00:29:16,00:41:33,00:02:07,00:00:26,00:01:44,00:17:14,00:00:15,00:00:00,00:00:10,00:00:00,00:00:14,00:00:48,00:17:06,00:00:20,00:00:05,00:29:39,00:00:18,Medium,NA,Unspecified*,2.513,3.019,0.5,28.0,97.0,NA,---,---,0,22928,5916,22928,-10683.657,0,14284,0.000,2.850,0,0.00,447,0.08,5,<0.01,0,0.00,14284,0.60,0,0.00,6.25 ns,17.522 ns
54,I352_O016_D002_II4_M1_F1_IR0_R0,2,2,13:33:52,3,3,138474,3944,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-11.679,-3812.196,0.063,0.000,5.253,57666,4.88,3821,0.16,57666,4.88,0,0.00,00:20:11,00:32:05,00:02:04,00:00:24,00:01:12,00:08:19,00:00:15,00:00:00,00:00:11,00:00:00,00:00:16,00:00:44,00:17:02,00:00:18,00:00:06,00:20:35,00:00:18,Medium,NA,Unspecified*,2.509,2.744,0.5,27.9,97.1,NA,---,---,0,4221,387,4221,-3812.196,0,3821,0.000,2.850,0,0.00,9102,1.54,3840,1.30,0,0.00,3821,0.16,0,0.00,6.25 ns,18.936 ns
53,I352_O016_D002_II4_M1_F1_IR0_R0_ER1,2,2,N/A,3,3,138474,3944,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-14.174,-16477.289,0.057,0.000,5.565,55487,4.69,9454,0.40,55487,4.69,0,0.00,00:23:30,09:02:42,00:02:07,00:00:24,00:01:40,00:10:56,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:40,08:44:50,00:00:19,00:00:05,00:23:53,00:00:18,Medium,NA,Unspecified*,2.514,3.052,0.5,28.0,97.0,NA,---,---,0,7638,3702,7638,-16477.289,0,9454,0.000,2.850,0,0.00,9118,1.54,3841,1.30,0,0.00,9454,0.40,0,0.00,6.25 ns,18.936 ns
52,I352_O016_D002_II4_M1_F1_IR0_R1,2,2,14:29:55,3,3,138474,3944,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-11.550,-3856.568,0.063,0.000,5.321,59832,5.06,3828,0.16,59832,5.06,0,0.00,00:23:02,00:33:20,00:02:00,00:00:24,00:01:25,00:08:39,00:00:16,00:00:00,00:00:11,00:00:00,00:00:16,00:00:47,00:17:50,00:00:17,00:00:05,00:23:23,00:00:16,Medium,NA,Unspecified*,2.510,2.811,0.5,27.9,97.1,NA,---,---,0,4228,389,4228,-3856.568,0,3828,0.000,2.850,0,0.00,9095,1.54,3840,1.30,0,0.00,3828,0.16,0,0.00,6.25 ns,18.936 ns
51,I352_O016_D002_II4_M1_F1_IR0_R1_ER1,2,2,N/A,3,3,138474,3944,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-13.272,-16152.577,0.080,0.000,5.644,55951,4.73,9455,0.40,55951,4.73,0,0.00,00:26:37,00:39:42,00:02:00,00:00:24,00:01:24,00:10:34,00:00:16,00:00:00,00:00:12,00:00:00,00:00:13,00:00:42,00:22:40,00:00:17,00:00:06,00:26:59,00:00:16,Medium,NA,Unspecified*,2.515,3.129,0.5,28.1,96.9,NA,---,---,0,7640,3621,7640,-16152.577,0,9455,0.000,2.850,0,0.00,9146,1.55,3840,1.30,0,0.00,9455,0.40,0,0.00,6.25 ns,18.936 ns
100,I352_O016_D002_II4_M1_F1_IR1_R0,3,3,29:04:39,4,4,138480,13867,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-14.455,-14813.183,0.019,0.000,4.899,56426,4.77,13755,0.58,56426,4.77,0,0.00,00:16:41,08:02:08,00:02:02,00:00:23,00:01:25,00:10:17,00:00:15,00:00:00,00:00:11,00:00:00,00:00:17,00:00:41,07:45:10,00:00:20,00:00:05,00:17:04,00:00:18,Medium,NA,Unspecified*,2.504,2.395,0.5,27.7,97.3,NA,---,---,0,21869,3929,21869,-14813.183,0,13755,0.000,2.850,0,0.00,9199,1.56,3840,1.30,0,0.00,13755,0.58,0,0.00,6.25 ns,18.936 ns
99,I352_O016_D002_II4_M1_F1_IR1_R1,3,3,16:10:55,4,4,138480,13867,ap_clk,6.25 ns,18.936 ns,0.80 ns,-12.686,-13.107,-13989.161,0.044,0.000,4.993,56828,4.81,13749,0.58,56828,4.81,0,0.00,00:17:19,00:46:21,00:01:58,00:00:24,00:01:15,00:10:18,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:42,00:29:45,00:00:18,00:00:05,00:17:40,00:00:16,Medium,NA,Unspecified*,2.505,2.488,0.5,27.7,97.3,NA,---,---,0,21857,3808,21857,-13989.161,0,13749,0.000,2.850,0,0.00,9199,1.56,3840,1.30,0,0.00,13749,0.58,0,0.00,6.25 ns,18.936 ns
194,I352_O016_D003_II1_M0_F1_IR0_R0,3,3,46:09:43,1,1,134521,12151,ap_clk,6.25 ns,11.332 ns,0.80 ns,-5.082,-2.739,-1653.705,0.075,0.000,6.630,60166,5.09,12088,0.51,60166,5.09,0,0.00,00:20:58,00:32:48,00:02:01,00:00:24,00:01:15,00:09:06,00:00:13,00:00:00,00:00:10,00:00:00,00:00:13,00:00:38,00:17:24,00:00:17,00:00:05,00:21:19,00:00:16,Medium,NA,Unspecified*,2.530,4.100,0.5,28.6,96.4,NA,---,---,0,5477,911,5477,-1653.705,0,12088,0.000,2.850,0,0.00,375,0.06,0,0.00,0,0.00,12088,0.51,0,0.00,6.25 ns,11.332 ns
193,I352_O016_D003_II1_M0_F1_IR0_R0_ER1,3,3,N/A,1,1,134521,12151,ap_clk,6.25 ns,11.332 ns,0.80 ns,-5.082,-2.389,-1869.965,0.047,0.000,6.510,57130,4.83,17721,0.75,57130,4.83,0,0.00,00:19:11,00:37:36,00:02:13,00:00:25,00:01:17,00:10:05,00:00:15,00:00:00,00:00:11,00:00:00,00:00:12,00:00:36,00:21:00,00:00:18,00:00:05,00:19:33,00:00:17,Medium,NA,Unspecified*,2.528,3.982,0.5,28.5,96.5,NA,---,---,0,12495,1888,12495,-1869.965,0,17721,0.000,2.850,0,0.00,272,0.05,4,<0.01,0,0.00,17721,0.75,0,0.00,6.25 ns,11.332 ns
142,I352_O016_D003_II1_M0_F1_IR0_R1,3,3,46:04:41,1,1,134521,12151,ap_clk,6.25 ns,11.332 ns,0.80 ns,-5.082,-2.739,-1653.705,0.075,0.000,6.630,60166,5.09,12088,0.51,60166,5.09,0,0.00,00:21:24,00:33:20,00:02:02,00:00:24,00:01:18,00:09:05,00:00:15,00:00:00,00:00:12,00:00:00,00:00:14,00:00:39,00:17:45,00:00:18,00:00:05,00:21:45,00:00:16,Medium,NA,Unspecified*,2.530,4.100,0.5,28.6,96.4,NA,---,---,0,5477,911,5477,-1653.705,0,12088,0.000,2.850,0,0.00,375,0.06,0,0.00,0,0.00,12088,0.51,0,0.00,6.25 ns,11.332 ns
