Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I016_O016_D001_IORET-freq80retfan10000,6338,1223,46,46,46,65,56,49,441,430,423,46,46,46,12.500,12.500,12.500,19.821,19.783,19.786,-7.424,-7.412,-7.399,5.591(29%),5.460(28%),5.535(28%),14.230(71%),14.323(72%),14.251(72%)
../syn/I016_O016_D001_IORET-freq80retfan16,6947,1305,48,45,0,15,15,1,304,296,1,48,45,1,12.500,12.500,12.500,22.435,21.203,0.835,-10.051,-8.832,11.473,5.257(24%),5.229(25%),0.097(12%),17.178(76%),15.974(75%),0.738(88%)
../syn/I016_O016_D001_SHORTSR-freq160retfan10000,5857,607,23,0,23,36,3,33,200,3,204,24,1,23,6.250,6.250,6.250,10.708,2.365,9.498,-4.502,3.805,-3.448,2.785(27%),0.095(5%),2.843(30%),7.923(73%),2.270(95%),6.655(70%)
../syn/I016_O016_D001_SHORTSR-freq320retfan10000,5949,620,25,0,24,19,3,46,151,3,237,25,1,24,3.125,3.125,3.125,9.903,1.280,9.648,-6.903,1.814,-6.676,3.099(32%),0.098(8%),3.056(32%),6.804(68%),1.182(92%),6.592(68%)
../syn/I016_O016_D001_SHORTSR-freq40retfan10000,4357,256,57,0,0,49,1,1,785,1,1,57,1,1,25.000,25.000,25.000,24.079,0.533,0.565,0.861,24.251,24.329,5.862(25%),0.096(19%),0.097(18%),18.217(75%),0.437(81%),0.468(82%)
../syn/I016_O016_D001_SHORTSR-freq40retfan16,4904,256,59,0,0,31,1,1,381,1,1,59,1,1,25.000,25.000,25.000,23.320,0.775,0.555,1.617,24.058,24.335,7.328(32%),0.095(13%),0.095(18%),15.992(68%),0.680(87%),0.460(82%)
../syn/I016_O016_D001_SHORTSR-freq80retfan10000,5104,617,26,0,0,35,1,1,281,1,1,26,1,1,12.500,12.500,12.500,11.989,0.787,0.383,0.308,11.595,12.074,2.872(24%),0.096(13%),0.097(26%),9.117(76%),0.691(87%),0.286(74%)
../syn/I016_O016_D001_SHORTSR-freq80retfan16,5531,670,26,0,23,27,1,16,199,1,138,26,1,23,12.500,12.500,12.500,12.231,0.564,10.108,0.157,11.829,2.289,3.026(25%),0.096(18%),2.642(27%),9.205(75%),0.468(82%),7.466(73%)
../syn/I016_O016_D002-freq160retfan10000,5674,1303,26,0,23,16,3,51,157,3,266,26,1,23,6.250,6.250,6.250,10.063,0.750,9.513,-3.882,5.431,-3.331,2.696(27%),0.098(14%),2.916(31%),7.367(73%),0.652(86%),6.597(69%)
../syn/I016_O016_D002-freq160retfan16,6414,1394,24,0,21,26,1,15,153,1,154,24,1,21,6.250,6.250,6.250,9.483,0.832,8.885,-3.341,5.333,-2.802,2.804(30%),0.093(12%),2.617(30%),6.679(70%),0.739(88%),6.268(70%)
