,NAME,T WNS(ns),T TNS(ns),T WHS(ns),T THS(ns),P Total On-Chip Power (W),U CLB LUTs,U CLB LUTs (%),U CLB Registers,U CLB Registers (%),U LUT as Logic,U LUT as Logic (%),U LUT as Memory,U LUT as Memory (%),E impl total,E synth synth_design,E impl open_checkpoint,E impl opt_design,E impl phys_opt_design,E impl place_design,E impl report_clock_utilization,E impl report_control_sets,E impl report_drc,E impl report_io,E impl report_methodology,E impl report_power,E impl route_design,E impl write_checkpoint,E synth create_clock,E synth total,E synth write_checkpoint,P Confidence Level,P Design Nets Matched,P Design Power Budget (W),P Device Static (W),P Dynamic (W),P Effective TJA (C/W),P Junction Temperature (C),P Max Ambient (C),P Power Budget Margin (W),P Setting File,P Simulation Activity File,T THS Failing Endpoints,T THS Total Endpoints,T TNS Failing Endpoints,T TNS Total Endpoints,T TNS(ns),T TPWS Failing Endpoints,T TPWS Total Endpoints,T TPWS(ns),T WPWS(ns),U CARRY8,U CARRY8 (%),U F7 Muxes,U F7 Muxes (%),U F8 Muxes,U F8 Muxes (%),U F9 Muxes,U F9 Muxes (%),U Register as Flip Flop,U Register as Flip Flop (%),U Register as Latch,U Register as Latch (%)
107,I352_O016_D002_II1_M0_F1_IR0_R0,-8.047,-2891.968,0.152,0.000,7.481,69528,5.88,8935,0.38,69528,5.88,0,0.00,00:39:18,00:23:09,00:02:08,00:00:26,00:01:15,00:15:48,00:00:15,00:00:00,00:00:11,00:00:00,00:00:19,00:00:55,00:16:17,00:00:19,00:00:05,00:23:32,00:00:18,Medium,NA,Unspecified*,2.543,4.939,0.5,29.1,95.9,NA,---,---,0,800,375,800,-2891.968,0,8935,0.000,2.850,0,0.00,298,0.05,0,0.00,0,0.00,8935,0.38,0,0.00
58,I352_O016_D002_II1_M0_F1_IR0_R1,-8.047,-2891.968,0.152,0.000,7.481,69528,5.88,8935,0.38,69528,5.88,0,0.00,00:38:37,00:23:33,00:02:08,00:00:28,00:01:16,00:15:41,00:00:15,00:00:00,00:00:11,00:00:00,00:00:19,00:00:55,00:15:38,00:00:19,00:00:05,00:23:56,00:00:18,Medium,NA,Unspecified*,2.543,4.939,0.5,29.1,95.9,NA,---,---,0,800,375,800,-2891.968,0,8935,0.000,2.850,0,0.00,298,0.05,0,0.00,0,0.00,8935,0.38,0,0.00
95,I352_O016_D002_II1_M0_F1_IR1_R0,-8.091,-9790.678,0.052,0.000,7.222,66997,5.67,14280,0.60,66997,5.67,0,0.00,00:41:47,00:26:08,00:02:04,00:00:25,00:01:33,00:10:13,00:00:15,00:00:00,00:00:11,00:00:00,00:00:13,00:00:48,00:24:38,00:00:20,00:00:05,00:26:31,00:00:18,Medium,NA,Unspecified*,2.539,4.683,0.5,28.9,96.1,NA,---,---,0,14678,5498,14678,-9790.678,0,14280,0.000,2.850,0,0.00,326,0.06,0,0.00,0,0.00,14280,0.60,0,0.00
67,I352_O016_D002_II1_M0_F1_IR1_R1,-8.091,-9790.678,0.052,0.000,7.222,66997,5.67,14280,0.60,66997,5.67,0,0.00,00:42:34,00:25:56,00:02:04,00:00:25,00:01:39,00:10:41,00:00:15,00:00:00,00:00:11,00:00:00,00:00:14,00:00:47,00:24:51,00:00:19,00:00:05,00:26:19,00:00:18,Medium,NA,Unspecified*,2.539,4.683,0.5,28.9,96.1,NA,---,---,0,14678,5498,14678,-9790.678,0,14280,0.000,2.850,0,0.00,326,0.06,0,0.00,0,0.00,14280,0.60,0,0.00
19,I352_O016_D002_II1_M1_F1_IR0_R0,-14.398,-4801.477,0.257,0.000,6.022,56055,4.74,8044,0.34,56055,4.74,0,0.00,02:49:15,00:18:13,00:02:01,00:00:22,00:01:04,00:09:12,00:00:15,00:00:00,00:00:10,00:00:00,00:00:14,00:00:42,02:33:38,00:00:19,00:00:06,00:18:36,00:00:17,Medium,NA,Unspecified*,2.520,3.502,0.5,28.3,96.7,NA,---,---,0,801,458,801,-4801.477,0,8044,0.000,2.850,0,0.00,9095,1.54,3840,1.30,0,0.00,8044,0.34,0,0.00
21,I352_O016_D002_II1_M1_F1_IR0_R1,-13.280,-4356.604,0.076,0.000,6.012,57758,4.89,8050,0.34,57758,4.89,0,0.00,01:17:46,00:17:30,00:01:57,00:00:22,00:01:18,00:09:00,00:00:15,00:00:00,00:00:10,00:00:00,00:00:14,00:00:44,01:02:18,00:00:17,00:00:05,00:17:51,00:00:16,Medium,NA,Unspecified*,2.520,3.492,0.5,28.3,96.7,NA,---,---,0,801,391,801,-4356.604,0,8050,0.000,2.850,0,0.00,9106,1.54,3840,1.30,0,0.00,8050,0.34,0,0.00
31,I352_O016_D002_II1_M1_F1_IR1_R0,-14.040,-13804.263,0.024,0.000,6.032,55868,4.73,13746,0.58,55868,4.73,0,0.00,07:02:43,00:17:59,00:02:02,00:00:23,00:02:12,00:10:07,00:00:16,00:00:00,00:00:10,00:00:00,00:00:11,00:00:41,06:45:16,00:00:19,00:00:05,00:18:22,00:00:18,Medium,NA,Unspecified*,2.521,3.511,0.5,28.3,96.7,NA,---,---,0,14145,3825,14145,-13804.263,0,13746,0.000,2.850,0,0.00,9188,1.55,3840,1.30,0,0.00,13746,0.58,0,0.00
36,I352_O016_D002_II1_M1_F1_IR1_R1,-12.799,-14545.358,0.040,0.000,6.008,55784,4.72,13750,0.58,55784,4.72,0,0.00,00:37:58,00:19:02,00:01:58,00:00:23,00:01:12,00:10:41,00:00:15,00:00:00,00:00:10,00:00:00,00:00:12,00:00:42,00:21:07,00:00:18,00:00:05,00:19:22,00:00:15,Medium,NA,Unspecified*,2.520,3.488,0.5,28.3,96.7,NA,---,---,0,14149,3841,14149,-14545.358,0,13750,0.000,2.850,0,0.00,9180,1.55,3840,1.30,0,0.00,13750,0.58,0,0.00
94,I352_O016_D002_II4_M0_F1_IR0_R0,-8.142,-2922.493,0.054,0.000,6.605,71487,6.05,8926,0.38,71487,6.05,0,0.00,00:38:51,00:16:34,00:02:04,00:00:25,00:01:26,00:15:29,00:00:14,00:00:00,00:00:11,00:00:00,00:00:20,00:00:56,00:15:58,00:00:20,00:00:05,00:16:58,00:00:19,Medium,NA,Unspecified*,2.529,4.076,0.5,28.6,96.4,NA,---,---,0,9325,375,9325,-2922.493,0,8926,0.000,2.850,0,0.00,460,0.08,0,0.00,0,0.00,8926,0.38,0,0.00
74,I352_O016_D002_II4_M0_F1_IR0_R1,-8.142,-2922.493,0.054,0.000,6.605,71487,6.05,8926,0.38,71487,6.05,0,0.00,00:38:51,00:17:17,00:02:04,00:00:27,00:01:25,00:15:39,00:00:14,00:00:00,00:00:10,00:00:00,00:00:19,00:00:55,00:15:52,00:00:20,00:00:05,00:17:41,00:00:19,Medium,NA,Unspecified*,2.529,4.076,0.5,28.6,96.4,NA,---,---,0,9325,375,9325,-2922.493,0,8926,0.000,2.850,0,0.00,460,0.08,0,0.00,0,0.00,8926,0.38,0,0.00
